,Actual
311,2292.6707495272476
312,2309.207624204917
313,2309.207624204917
314,2316.9749441292765
315,2315.9727093003266
316,2307.203154547017
317,2307.453713254255
318,2303.4447739384564
319,2305.9503610108304
320,2304.948126181881
321,2306.451478425305
322,2297.6819236719957
323,2292.1696321127733
324,2279.1405793364274
325,2295.1763365996217
326,2291.668514698298
327,2283.9011947739386
328,2308.2053893759667
329,2300.18751074437
330,2324.742264053636
331,2339.2746690734057
332,2338.2724342444562
333,2336.7690820010316
334,2331.7579078562835
335,2341.5296974385424
336,2337.019640708269
337,2336.017405879319
338,2337.771316829981
339,2344.285843218154
340,2345.037519339866
341,2342.030814853017
342,2347.7936651194773
343,2344.536401925391
344,2339.77578648788
345,2350.2992521918513
346,2351.3014870208012
347,2311.713211277291
348,2318.2277376654633
349,2330.5051143200963
350,2345.7891954615784
351,2348.294782533952
352,2355.059867629362
353,2366.8361268695203
354,2366.3350094550456
355,2366.585568162283
356,2365.833892040571
357,2362.827187553722
358,2377.610151280729
359,2389.8875279353615
360,2389.6369692281246
361,2381.6190905965277
362,2386.1291473268006
363,2383.6235602544266
364,2377.109033866254
365,2377.109033866254
366,2392.393115007736
367,2388.384175691938
368,2382.3707667182393
369,2382.8718841327145
370,2403.918815540657
371,2390.889762764312
372,2387.1313821557505
373,2387.6324995702253
374,2388.885293106412
375,2392.6436737149734
376,2376.1067990373044
377,2393.144791129448
378,2373.350653257693
379,2382.120208011002
380,2378.361827402441
381,2379.8651796458657
382,2385.8785886195637
383,2360.5721591885854
384,2378.6123861096785
385,2383.3730015471892
386,2379.8651796458657
387,2396.9031717380094
388,2400.4109936393334
389,2414.1917225373904
390,2410.9344593433043
391,2411.9366941722537
392,2424.7151882413614
393,2427.972451435448
394,2421.95904246175
395,2424.7151882413614
396,2429.225244971635
397,2429.225244971635
398,2423.2118359979368
399,2424.214070826887
400,2426.970216606498
401,2427.471334020973
402,2426.719657899261
403,2422.9612772906994
404,2426.4690991920234
405,2431.730832044009
406,2424.7151882413614
407,2423.712953412412
408,2393.6459085439233
409,2394.6481433728727
410,2418.200661853189
411,2421.207366340038
412,2421.95904246175
413,2387.1313821557505
414,2383.6235602544266
415,2382.120208011002
416,2407.176078734743
417,2400.9121110538076
418,2393.144791129448
419,2399.909876224858
420,2396.9031717380094
421,2401.1626697610454
422,2408.929989685405
423,2428.223010142685
424,2431.9813907512466
425,2422.7107185834625
426,2409.6816658071175
427,2420.9568076328005
428,2418.4512205604265
429,2415.4445160735772
430,2441.252062919031
431,2448.2677067216778
432,2449.7710589651024
433,2449.2699415506277
434,2453.2788808664263
435,2459.292289840124
436,2461.54731820526
437,2459.0417311328865
438,2456.0350266460373
439,2456.0350266460373
440,2448.017148014441
441,2453.0283221591885
442,2463.8023465703973
443,2463.0506704486847
444,2471.068549080282
445,2480.840338662541
446,2488.357099879663
447,2490.862686952037
448,2505.395091971807
449,2501.636711363246
450,2497.37721334021
451,2503.641181021145
452,2508.9029138731303
453,2505.1445332645694
454,2508.6523551658934
455,2511.6590596527417
456,2513.6635293106415
457,2516.9207925047276
458,2513.6635293106415
459,2527.9453756231733
460,2520.4286144060516
461,2522.9342014784256
462,2510.406266116555
463,2516.419675090253
464,2533.207108475159
465,2526.6925820869865
466,2529.1981691593605
467,2534.2093433041086
468,2533.708225889634
469,2540.723869692281
470,2545.484485129792
471,2541.976663228468
472,2547.739513494929
473,2537.9677239126695
474,2536.464371669245
475,2537.9677239126695
476,2531.453197524497
477,2522.182525356713
478,2542.2272219357055
479,2534.7104607185834
480,2536.96548908372
481,2555.005716004813
482,2554.0034811758637
483,2553.7529224686264
484,2558.2629791988998
485,2558.513537906137
486,2582.0660563864535
487,2580.562704143029
488,2601.359076843734
489,2598.85348977136
490,2598.352372356885
491,2587.327789238439
492,2586.8266718239643
493,2593.0906395048996
494,2605.61857486677
495,2613.887012205604
496,2623.408243080626
497,2624.1599192023377
498,2614.137570912842
499,2634.1822674918344
500,2648.2135550971293
501,2641.1979112944814
502,2639.44400034382
503,2645.4574093175174
504,2641.6990287089566
505,2639.44400034382
506,2636.1867371497337
507,2639.44400034382
508,2635.4350610280217
509,2647.9629963898915
510,2666.754899432697
511,2678.781717380093
512,2693.063563692625
513,2701.8331184459344
514,2710.3521144920064
515,2702.334235860409
516,2718.6205518308407
517,2740.1686006532577
518,2748.938155406567
519,2736.4102200446964
520,2762.21776689015
521,2754.1998882585526
522,2765.2244713769983
523,2784.016374419804
524,2796.2937510744373
525,2794.7903988310127
526,2792.785929173113
527,2825.1080024067387
528,2809.5733625580197
529,2782.262463469142
530,2783.515257005329
531,2768.9828519855596
532,2720.123904074265
533,2630.925004297748
534,2646.960761560942
535,2657.9853446793877
536,2566.5314165377345
537,2567.7842100739213
538,2616.8937166924534
539,2614.137570912842
540,2649.2157899260787
541,2676.526689014956
542,2689.5557417913014
543,2682.7906566958914
544,2664.750429774798
545,2667.256016847172
546,2658.9875795083376
547,2696.8219443011862
548,2730.8979284854736
549,2705.8420577617326
550,2685.5468024755032
551,2624.661036616813
552,2644.705733195806
553,2681.0367457452294
554,2679.7839522090426
555,2683.041215403129
556,2685.5468024755032
557,2735.6585439229843
558,2743.6764225545817
559,2715.1127299295167
560,2700.079207495273
561,2702.0836771531717
562,2710.3521144920064
563,2657.734785972151
564,2668.5088103833596
565,2671.7660735774452
566,2602.3613116726838
567,2546.7372786659794
568,2607.372485817432
569,2551.2473353962523
570,2558.513537906137
571,2593.8423156266117
572,2518.1735860409144
573,2557.010185662713
574,2590.5850524325256
575,2613.3858947911294
576,2551.999011517965
577,2576.804323534468
578,2607.121927110194
579,2594.844550455561
580,2619.9004211793017
581,2602.1107529654464
582,2632.67891524841
583,2660.490931751762
584,2661.2426078734743
585,2644.9562919030427
586,2615.3903644490288
587,2616.643157985216
588,2570.5403558535327
589,2582.0660563864535
590,2617.895951521403
591,2617.394834106928
592,2604.1152226233453
593,2594.844550455561
594,2583.569408629878
595,2574.0481777548566
596,2613.135336083892
597,2617.895951521403
598,2616.142040570741
599,2640.696793880007
600,2668.2582516761217
601,2675.2738954787687
602,2678.0300412583806
603,2654.226964070827
604,2669.511045212309
605,2667.506575554409
606,2662.9965188241363
607,2678.280599965618
608,2675.5244541860066
609,2677.027806429431
610,2674.522219357057
611,2666.754899432697
612,2672.5177496991573
613,2636.9384132714454
614,2672.5177496991573
615,2656.4819924359635
616,2681.0367457452294
617,2696.5713855939484
618,2696.5713855939484
619,2716.365523465704
620,2718.871110538078
621,2726.3878717552006
622,2735.6585439229843
623,2733.4035155578476
